2026-06-15 20:56:14, 0.0%
2026-06-15 20:56:14, 40.6%
2026-06-15 20:56:14, 40.1%
2026-06-15 20:56:15, 39.7%
2026-06-15 20:56:15, 39.3%
2026-06-15 20:56:16, 41.6%
2026-06-15 20:56:16, 40.3%
2026-06-15 20:56:17, 39.7%
2026-06-15 20:56:17, 39.2%
2026-06-15 20:56:18, 39.2%
2026-06-15 20:56:18, 38.8%
2026-06-15 20:56:19, 39.1%
2026-06-15 20:56:19, 39.5%
2026-06-15 20:56:20, 40.3%
2026-06-15 20:56:20, 38.6%
2026-06-15 20:56:21, 38.7%
2026-06-15 20:56:21, 40.7%
2026-06-15 20:56:22, 38.1%
2026-06-15 20:56:22, 38.8%
2026-06-15 20:56:23, 39.7%
2026-06-15 20:56:23, 40.2%
