2026-06-15 20:12:34, 0.0%
2026-06-15 20:12:35, 6.5%
2026-06-15 20:12:35, 4.2%
2026-06-15 20:12:35, 9.0%
2026-06-15 20:12:36, 11.6%
2026-06-15 20:12:36, 8.8%
2026-06-15 20:12:36, 6.0%
2026-06-15 20:12:37, 9.4%
2026-06-15 20:12:37, 10.6%
2026-06-15 20:12:38, 9.9%
2026-06-15 20:12:38, 6.5%
