2026-06-11 16:29:58, 0.0%
2026-06-11 16:29:59, 12.2%
2026-06-11 16:30:00, 12.6%
2026-06-11 16:30:01, 12.6%
2026-06-11 16:30:02, 12.8%
2026-06-11 16:30:03, 11.9%
2026-06-11 16:30:04, 13.3%
2026-06-11 16:30:05, 11.7%
2026-06-11 16:30:06, 12.6%
2026-06-11 16:30:07, 13.2%
2026-06-11 16:30:08, 12.6%
2026-06-11 16:30:09, 12.4%
2026-06-11 16:30:10, 12.6%
2026-06-11 16:30:11, 12.4%
2026-06-11 16:30:12, 12.6%
2026-06-11 16:30:13, 13.0%
2026-06-11 16:30:14, 12.6%
2026-06-11 16:30:15, 12.4%
2026-06-11 16:30:16, 12.3%
2026-06-11 16:30:17, 11.9%
2026-06-11 16:30:18, 12.6%
2026-06-11 16:30:19, 12.6%
2026-06-11 16:30:20, 11.9%
2026-06-11 16:30:21, 12.4%
2026-06-11 16:30:22, 12.4%
2026-06-11 16:30:23, 12.2%
2026-06-11 16:30:24, 13.0%
2026-06-11 16:30:25, 12.6%
2026-06-11 16:30:26, 12.4%
2026-06-11 16:30:27, 11.9%
2026-06-11 16:30:28, 12.6%
2026-06-11 16:30:29, 12.6%
2026-06-11 16:30:30, 12.8%
2026-06-11 16:30:31, 12.6%
2026-06-11 16:30:32, 12.1%
2026-06-11 16:30:33, 12.2%
2026-06-11 16:30:34, 12.2%
2026-06-11 16:30:35, 13.0%
2026-06-11 16:30:36, 12.8%
2026-06-11 16:30:37, 12.3%
2026-06-11 16:30:38, 12.4%
2026-06-11 16:30:39, 11.9%
2026-06-11 16:30:40, 12.6%
2026-06-11 16:30:41, 12.4%
2026-06-11 16:30:42, 12.8%
2026-06-11 16:30:43, 12.3%
2026-06-11 16:30:44, 12.4%
2026-06-11 16:30:45, 12.2%
2026-06-11 16:30:46, 13.1%
2026-06-11 16:30:47, 12.3%
2026-06-11 16:30:48, 12.4%
2026-06-11 16:30:49, 11.9%
2026-06-11 16:30:50, 12.4%
2026-06-11 16:30:51, 12.3%
2026-06-11 16:30:52, 12.6%
2026-06-11 16:30:53, 13.2%
2026-06-11 16:30:54, 12.6%
2026-06-11 16:30:55, 12.4%
2026-06-11 16:30:56, 11.7%
2026-06-11 16:30:57, 12.1%
2026-06-11 16:30:58, 13.1%
2026-06-11 16:30:59, 12.2%
2026-06-11 16:31:00, 12.6%
2026-06-11 16:31:01, 12.4%
