2026-06-15 17:32:50, 0.0%
2026-06-15 17:32:51, 39.2%
2026-06-15 17:32:51, 38.6%
2026-06-15 17:32:52, 39.1%
2026-06-15 17:32:52, 37.4%
2026-06-15 17:32:53, 41.0%
2026-06-15 17:32:54, 38.6%
2026-06-15 17:32:54, 39.4%
2026-06-15 17:32:55, 38.7%
2026-06-15 17:32:55, 38.3%
2026-06-15 17:32:56, 39.7%
2026-06-15 17:32:56, 39.0%
2026-06-15 17:32:57, 39.5%
2026-06-15 17:32:57, 39.2%
2026-06-15 17:32:58, 38.1%
2026-06-15 17:32:59, 38.6%
2026-06-15 17:32:59, 39.0%
2026-06-15 17:33:00, 37.9%
2026-06-15 17:33:00, 39.4%
2026-06-15 17:33:01, 37.1%
2026-06-15 17:33:01, 38.6%
